year,position,team,game_played,wins,losses,win_percentage,minutes_played,points,field_goal_made,field_goal_attempted,field_goal_percentage,three_ponint_made,three_ponint_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throws_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,turnovers,blocked_field_goal_attempts,personal_fouls,PFD,"""+/-""",minutes_played,effective_field_goal_percentage,free_throw_attempt_rate,turnover_percentage,offensive_rebound_percentage,opponent_effective_field_goal_percentage,opponent_free_throw_attempted_rate,opponent_turnover_percentage,opponent_offensive_rebound_rate,minutes_played_per_game,percent_of_field_goals_attempted_two_points,percent_of_field_goals_attempted_three_points,percent_of_points_two_points,percent_of_points_mid_range_two_points,percent_of_points_three_points,percent_of_points_fast_break,percent_of_points_free_throw,percent_of_points_off_turnovers,percent_of_points_points_in_paint,percent_of_two_point_field_goals_made_assisted,percent_of_two_point_field_goals_made_unassisted,percent_of_three_point_field_goals_made_assisted,percent_of_three_point_field_goals_made_unassisted,percent_of_field_goals_made_assisted,percent_of_field_goals_made_unassisted,defensive_rating,defensive_rebounds,defensive_rebound_percentage,steals,blocks,opponent_points_off_turnovers,opponent_second_chance_points,opponent_fast_break_points,"opponent_points_in_the_paint
"
2016,1,Golden State Warriors,82,67,15,0.817,48.2,115.9,43.1,87.1,49.5,12,31.2,38.3,17.8,22.6,78.8,9.4,35,44.4,30.4,14.8,3.8,19.3,19.4,11.6,"3,956",56.3,0.259,14.4,22.8,48.6,0.261,15,25.1,48.2,64.1,35.9,53.7,13.4,31,19.5,15.3,16.7,40.2,65.6,34.4,83.4,16.6,70.5,29.5,101.1,35,74.9,9.6,6.8,16.7,14,14.4,45.4
2016,2,San Antonio Spurs,82,61,21,0.744,48.3,105.3,39.3,83.7,46.9,9.2,23.5,39.1,17.6,22,79.7,10,33.9,43.9,23.8,13.4,4.1,18.3,19.8,7.2,"3,961",52.4,0.263,13.9,24,49.2,0.249,14.8,22.4,48.3,71.9,28.1,57.2,19.6,26.2,11.5,16.7,16.4,37.6,52.5,47.5,87.4,12.6,60.6,39.4,100.9,33.9,77.6,8,5.9,14.7,12.4,12.6,40.8
2016,3,Houston Rockets,82,55,27,0.671,48.2,115.3,40.3,87.2,46.2,14.4,40.3,35.7,20.3,26.5,76.6,10.9,33.5,44.4,25.2,15.1,5,19.9,20.4,5.8,"3,956",54.5,0.304,14.7,24.6,51.9,0.25,14.6,24.2,48.2,53.8,46.2,44.9,4.4,37.5,14.5,17.6,16.2,40.5,54.6,45.4,77.1,22.9,62.6,37.4,106.4,33.5,75.8,8.2,4.3,17.5,13.8,14.3,49
2016,4,Boston Celtics,82,53,29,0.646,48.2,108,38.6,85.1,45.4,12,33.4,35.9,18.7,23.2,80.7,9.1,32.9,42,25.2,13.3,5.2,20.6,20.3,2.6,"3,951",52.5,0.273,13.3,21.2,50.3,0.29,13.9,24.7,48.2,60.7,39.3,49.3,10.6,33.4,11.5,17.3,15.1,38.7,57,43,83.7,16.3,65.3,34.7,105.5,32.9,75.3,7.5,4.1,15.2,13.9,12.2,43.2
2016,5,Utah Jazz,82,51,31,0.622,48.2,100.7,37,79.5,46.6,9.6,26,37.2,17.1,22.9,74.7,9.4,33.8,43.2,20.1,13.6,3.8,18.8,20.2,3.9,"3,951",52.6,0.288,14.5,23.2,49.3,0.253,12.9,21.1,48.2,67.3,32.7,54.3,11.8,28.7,8.1,17,14.6,42.5,45.4,54.6,80,20,54.4,45.6,102.7,33.8,78.9,6.7,5,15.2,10.7,10.5,41
2016,5,Toronto Raptors,82,51,31,0.622,48.2,106.9,39.2,84.4,46.4,8.8,24.3,36.3,19.7,24.7,79.6,10.6,32.6,43.3,18.5,12.7,4.8,20.8,20.3,4.2,"3,956",51.7,0.293,13,25,50.7,0.286,14.9,23.7,48.2,71.1,28.9,56.7,15.8,24.8,11.4,18.4,16.2,40.9,37.2,62.8,81.8,18.2,47.2,52.8,104.9,32.6,76.3,8.3,4.9,14.9,13.1,11.5,41.7
2016,5,Cleveland Cavaliers,82,51,31,0.622,48.5,110.3,39.9,84.9,47,13,33.9,38.4,17.5,23.3,74.8,9.3,34.4,43.7,22.7,13.7,4.3,18.1,20.6,3.2,"3,976",54.7,0.275,13.7,21.9,51.6,0.226,12.7,24.2,48.5,60.1,39.9,48.8,13,35.4,11.7,15.8,13.3,35.8,44.1,55.9,82.9,17.1,56.7,43.3,108,34.4,75.8,6.6,4,16.6,13.7,13.3,44.5
2016,5,LA Clippers,82,51,31,0.622,48.2,108.7,39.5,83.2,47.5,10.3,27.4,37.5,19.3,26,74.5,9,34,43,22.5,13,3.1,19.8,22.4,4.3,"3,951",53.7,0.312,13.1,21.5,50.6,0.274,13.4,23.1,48.2,67.1,32.9,53.9,17.1,28.3,12.8,17.8,14,36.7,49.4,50.6,78.6,21.4,57,43,105.8,34,76.9,7.5,4.2,15.2,12.7,14.3,42.7
2016,9,Washington Wizards,82,49,33,0.598,48.4,109.2,41.3,87,47.5,9.2,24.8,37.2,17.3,22.1,78.4,10.3,32.6,42.9,23.9,14.2,4.6,21.3,19.8,1.8,"3,971",52.8,0.254,14.1,24.1,52.4,0.284,15.3,24.5,48.4,71.6,28.4,58.8,17.6,25.3,14.6,15.9,16.2,41.2,49.6,50.4,86,14,57.7,42.3,106.9,32.6,75.5,8.5,4.1,16.4,13.8,12.1,43.9
2016,10,Oklahoma City Thunder,82,47,35,0.573,48.3,106.6,39.5,87.4,45.2,8.4,25.8,32.7,19.2,25.8,74.5,12.2,34.4,46.6,21,15,5.5,20.9,20.7,0.8,"3,961",50,0.295,14.8,27.9,51.1,0.285,13.7,21,48.3,70.5,29.5,58.2,11.4,23.8,15.8,18,14.7,46.8,46.6,53.4,77.3,22.7,53.2,46.8,105.1,34.4,79,7.9,5,16.9,12.2,11.1,47.5
2016,11,Memphis Grizzlies,82,43,39,0.524,48.5,100.5,36.4,83.6,43.5,9.4,26.5,35.4,18.3,23.4,78.4,10.8,32,42.8,21.3,12.9,5,22.4,20.8,0.5,"3,981",49.1,0.28,13.5,24.8,50.6,0.341,14.9,22.5,48.5,68.4,31.6,53.8,13.5,27.9,10.1,18.3,16,40.3,50.4,49.6,81.6,18.4,58.4,41.6,104.5,32,77.5,8,4.2,14.8,11.5,14.6,37.8
2016,11,Atlanta Hawks,82,43,39,0.524,48.5,103.2,38.1,84.4,45.1,8.9,26.1,34.1,18.1,24.9,72.8,10.3,34.1,44.3,23.6,15.8,5.2,18.2,21.6,-0.9,"3,976",50.4,0.295,15.7,23.6,50.7,0.232,15.3,23.9,48.5,69.1,30.9,56.6,15.2,25.9,11.8,17.5,15.8,41.4,54.2,45.8,87.9,12.1,62.1,37.9,103.1,34.1,76.1,8.2,4.8,17.4,13.2,12.8,39.1
2016,13,Indiana Pacers,82,42,40,0.512,48.4,105.1,39.3,84.5,46.5,8.6,23,37.6,17.9,22.1,81,9,33,42,22.5,13.8,5,19.5,19.5,-0.2,"3,971",51.6,0.261,13.9,21.2,51.2,0.286,15.1,24.5,48.4,72.8,27.2,58.3,18.4,24.7,10.1,17,15.8,39.8,49.8,50.2,83.6,16.4,57.2,42.8,106.3,33,75.5,8.2,5,16.2,12.9,10.6,39.7
2016,13,Milwaukee Bucks,82,42,40,0.512,48.2,103.6,38.8,81.9,47.4,8.8,23.7,37,17.2,22.4,76.8,8.8,31.6,40.4,24.2,14,4.6,20.2,19.3,-0.2,"3,956",52.7,0.274,14.4,21.5,51.8,0.279,15.1,24.6,48.2,71,29,57.9,11,25.4,13.3,16.6,16.7,46.9,53.4,46.6,92.9,7.1,62.4,37.6,106.4,31.6,75.4,8.1,5.3,16.2,12.7,11.7,43.7
2016,15,Chicago Bulls,82,41,41,0.5,48.2,102.9,38.6,87.1,44.4,7.6,22.3,34,18,22.5,79.8,12.2,34.1,46.3,22.6,13.6,4.6,17.7,18.8,0.4,"3,956",48.7,0.259,13.8,27,50.7,0.219,13.7,23.2,48.2,74.4,25.6,60.4,18.3,22.2,13.4,17.5,15.2,42.1,51.3,48.7,87.5,12.5,58.4,41.6,104.5,34.1,76.8,7.8,4.8,15.5,11.9,13.7,45.2
2016,15,Portland Trail Blazers,82,41,41,0.5,48.6,107.9,39.5,86.1,45.9,10.4,27.7,37.5,18.5,23.7,78,10.1,33.5,43.7,21.1,13.7,5.3,21.2,19.8,-0.5,"3,986",52,0.275,13.7,23,50.8,0.307,12.8,23.2,48.6,67.8,32.2,54,14.8,28.9,10.5,17.1,13.6,39.2,44.4,55.6,78.9,21.1,53.4,46.6,107.8,33.5,76.8,7,5,15.7,12.6,12.7,42.9
2016,15,Miami Heat,82,41,41,0.5,48.2,103.2,39,85.8,45.5,9.9,27,36.5,15.2,21.6,70.6,10.6,33,43.6,21.2,13.4,4.9,20.5,18.7,1.1,"3,956",51.2,0.251,13.7,24.2,49.6,0.281,13.9,23.6,48.2,68.6,31.4,56.6,12.8,28.7,10.8,14.8,15.4,43.8,42.7,57.3,89.1,10.9,54.4,45.6,104.1,33,76.4,7.2,5.7,13.9,12.8,10.3,44.5
2016,18,Denver Nuggets,82,40,42,0.488,48.2,111.7,41.2,87.7,46.9,10.6,28.8,36.8,18.7,24.2,77.4,11.8,34.6,46.4,25.3,15,4.9,19.1,20.2,0.5,"3,951",53,0.276,14.7,27.3,53.2,0.248,11.9,21.3,48.2,67.1,32.9,54.7,10.1,28.5,12.7,16.8,12.6,44.6,52.6,47.4,87.1,12.9,61.5,38.5,110.5,34.6,78.7,6.9,3.9,18,12.3,14.3,47.4
